,날짜,요일,이름,발표횟수,당첨여부
0,2023.03.02,목,A,0,0
1,2023.03.02,목,M,0,0
2,2023.03.02,목,V,1,0
3,2023.03.02,목,U,2,1
4,2023.03.02,목,T,2,0
5,2023.03.02,목,S,3,0
6,2023.03.02,목,R,0,0
7,2023.03.02,목,Q,0,0
8,2023.03.02,목,P,2,0
9,2023.03.02,목,O,1,0
10,2023.03.02,목,N,0,0
11,2023.03.02,목,L,1,0
12,2023.03.02,목,B,0,0
13,2023.03.02,목,K,0,0
14,2023.03.02,목,J,0,0
15,2023.03.02,목,I,0,0
16,2023.03.02,목,H,3,0
17,2023.03.02,목,G,1,0
18,2023.03.02,목,F,1,0
19,2023.03.02,목,E,0,0
20,2023.03.02,목,D,0,0
21,2023.03.02,목,C,0,0
22,2023.03.02,목,W,0,0
23,2023.03.03,금,A,1,0
24,2023.03.03,금,M,2,0
25,2023.03.03,금,V,1,0
26,2023.03.03,금,U,1,0
27,2023.03.03,금,T,3,0
28,2023.03.03,금,S,3,1
29,2023.03.03,금,R,1,0
30,2023.03.03,금,Q,1,0
31,2023.03.03,금,P,5,0
32,2023.03.03,금,O,0,0
33,2023.03.03,금,N,1,0
34,2023.03.03,금,L,2,0
35,2023.03.03,금,B,1,0
36,2023.03.03,금,K,2,0
37,2023.03.03,금,J,0,0
38,2023.03.03,금,I,1,0
39,2023.03.03,금,H,0,0
40,2023.03.03,금,G,2,0
41,2023.03.03,금,F,4,0
42,2023.03.03,금,E,0,0
43,2023.03.03,금,D,0,0
44,2023.03.03,금,C,1,0
45,2023.03.03,금,W,1,0
46,2023.03.06,월,A,0,0
47,2023.03.06,월,M,0,0
48,2023.03.06,월,V,0,0
49,2023.03.06,월,U,4,0
50,2023.03.06,월,T,3,1
51,2023.03.06,월,S,5,0
52,2023.03.06,월,R,1,0
53,2023.03.06,월,Q,1,0
54,2023.03.06,월,P,2,0
55,2023.03.06,월,O,1,0
56,2023.03.06,월,N,2,0
57,2023.03.06,월,L,0,0
58,2023.03.06,월,B,0,0
59,2023.03.06,월,K,1,0
60,2023.03.06,월,J,0,0
61,2023.03.06,월,I,1,0
62,2023.03.06,월,H,2,0
63,2023.03.06,월,G,2,0
64,2023.03.06,월,F,3,0
65,2023.03.06,월,E,0,0
66,2023.03.06,월,D,0,0
67,2023.03.06,월,C,1,0
68,2023.03.06,월,W,0,0
69,2023.03.07,화,A,3,0
70,2023.03.07,화,M,1,0
71,2023.03.07,화,V,3,0
72,2023.03.07,화,U,1,0
73,2023.03.07,화,T,3,0
74,2023.03.07,화,S,2,0
75,2023.03.07,화,R,2,0
76,2023.03.07,화,Q,2,0
77,2023.03.07,화,P,1,0
78,2023.03.07,화,O,3,0
79,2023.03.07,화,N,2,0
80,2023.03.07,화,L,2,0
81,2023.03.07,화,B,1,1
82,2023.03.07,화,K,1,0
83,2023.03.07,화,J,1,0
84,2023.03.07,화,I,2,0
85,2023.03.07,화,H,4,0
86,2023.03.07,화,G,2,0
87,2023.03.07,화,F,3,0
88,2023.03.07,화,E,0,0
